condition,quantity,model,index,x_he,y,yerr
800_7000,mu_he,CACE,11,0.390625,-0.0356202434,0.000706997578
800_7000,mu_he,CACE,12,0.359375,-0.0356202373,0.00067689854
800_7000,mu_he,CACE,13,0.328125,-0.0356202389,0.000650343302
800_7000,mu_he,CACE,14,0.296875,-0.0356202396,0.000626686882
800_7000,mu_he,CACE,15,0.265625,-0.0356202406,0.000605437195
800_7000,mu_he,CACE,16,0.234375,-0.0356202494,0.000586212948
800_7000,mu_he,CACE,17,0.203125,-0.0357542599,0.000575321999
800_7000,mu_he,CACE,18,0.1875,-0.0358292226,0.000562706989
800_7000,mu_he,CACE,19,0.171875,-0.0382655574,0.000597077331
800_7000,mu_he,CACE,20,0.15625,-0.0446087696,0.000690178537
800_7000,mu_he,CACE,21,0.140625,-0.0561206377,0.00081629666
800_7000,mu_he,CACE,22,0.109375,-0.100238674,0.00108766457
800_7000,mu_he,CACE,23,0.078125,-0.188084646,0.00201106895
800_7000,mu_he,CACE,24,0.046875,-0.376822418,0.00349761562
800_7000,mu_he,CACE,25,0.015625,-0.918942561,0.00613135211
800_7000,mu_h,CACE,0,0.984375,-0.57350933,0.0301157113
800_7000,mu_h,CACE,1,0.953125,-0.286656294,0.0170888143
800_7000,mu_h,CACE,2,0.921875,-0.167177616,0.00833169003
800_7000,mu_h,CACE,3,0.859375,-0.074869173,0.002767172
800_7000,mu_h,CACE,4,0.796875,-0.0575596919,0.00113587498
800_7000,mu_h,CACE,5,0.734375,-0.0568517134,0.000987843996
800_7000,mu_h,CACE,6,0.609375,-0.0566891635,0.000879737866
800_7000,mu_h,CACE,7,0.546875,-0.0566891652,0.000814476711
800_7000,mu_h,CACE,8,0.484375,-0.056689165,0.000761873128
800_7000,mu_h,CACE,9,0.453125,-0.0566891559,0.000718301371
800_7000,mu_h,CACE,10,0.421875,-0.0566891552,0.000681440349
800_7000,mu_h,CACE,11,0.390625,-0.0566891581,0.000649727964
800_7000,mu_h,CACE,12,0.359375,-0.0566891627,0.000622066791
800_7000,mu_h,CACE,13,0.328125,-0.0566891542,0.000597662541
800_7000,mu_h,CACE,14,0.296875,-0.0566891541,0.000575921411
800_7000,mu_h,CACE,15,0.265625,-0.0566891538,0.000556393216
800_7000,mu_h,CACE,16,0.234375,-0.0566891527,0.000538725281
800_7000,mu_h,CACE,17,0.203125,-0.0566516846,0.000520791781
800_7000,mu_h,CACE,18,0.1875,-0.0566335003,0.000505246604
800_7000,mu_h,CACE,19,0.171875,-0.0561001505,0.000480961172
800_7000,mu_h,CACE,20,0.15625,-0.054856105,0.000447559484
800_7000,mu_h,CACE,21,0.140625,-0.0528512623,0.000411912266
800_7000,mu_h,CACE,22,0.109375,-0.0465810005,0.000361168247
800_7000,mu_h,CACE,23,0.078125,-0.0375773648,0.000256162921
800_7000,mu_h,CACE,24,0.046875,-0.025260354,0.000150993722
800_7000,mu_h,CACE,25,0.015625,-0.00934094207,6.85279946e-05
800_7000,integrand_he,N2P2,0,0.984375,0.519742054,0.263774492
800_7000,integrand_he,N2P2,1,0.921875,0.257702239,0.0624565563
800_7000,integrand_he,N2P2,2,0.859375,0.10246144,0.0228246168
800_7000,integrand_he,N2P2,3,0.796875,0.0150741273,0.00261991419
800_7000,integrand_he,N2P2,4,0.734375,-1.32531407e-09,0.00673677441
800_7000,integrand_he,N2P2,5,0.609375,1.17640185e-09,0.00416041095
800_7000,integrand_he,N2P2,6,0.546875,1.81939515e-09,0.00834307872
800_7000,integrand_he,N2P2,7,0.484375,3.79671488e-09,0.00795774672
800_7000,integrand_he,N2P2,8,0.453125,3.49780958e-09,0.00679835091
800_7000,integrand_he,N2P2,9,0.421875,2.03752688e-09,0.00767962872
