method,x_he,temperature_K,volume_A3,pressure_GPa_used,energy_eV_per_atom,rho_invA3_used,density_g_cm3
vdW-DF,0.125,6000,55.99998,1104.61,1.9356,1.0714289540817692,2.268131359119538
vdW-DF,0.125,6000,52.00002,1288.28,2.37203,1.1538457100593422,2.4426011903085225
vdW-DF,0.125,6000,48.486180000000004,1487.83,2.81945,1.237466016089533,2.619618842896408
vdW-DF,0.125,6000,48.0,1519.06,2.88693,1.25,2.6461523072513953
vdW-DF,0.125,6000,45.19392,1719.02,3.31006,1.3276122097839709,2.810451289643982
vdW-DF,0.125,6000,43.99998,1815.69,3.50935,1.3636369834713562,2.8867129200528487
vdW-DF,0.125,6000,41.800079999999994,2015.53,3.90043,1.4354039513799977,3.03863798222556
vdW-DF,0.125,6000,40.00002,2203.41,4.25402,1.499999250000375,3.1753811810110832
vdW-DF,0.125,6000,39.0,2319.5,4.46902,1.5384615384615385,3.2568028396940245
vdW-DF,0.125,6000,37.99998,2445.71,4.69915,1.5789481994464207,3.3425099367964655
vdW-DF,0.125,6000,37.00002,2579.91,4.93298,1.6216207450698676,3.432844380842685
vdW-DF,0.125,6000,36.0,2726.99,5.18855,1.6666666666666667,3.5282030763351933
vdW-DF,0.125,6000,34.00002,3058.63,5.73933,1.764704844291268,3.735742236271242
vdW-DF,0.125,6000,31.999979999999997,3454.52,6.36301,1.8750011718757327,3.9692309416464315
vdW-DF,0.125,6000,30.0,3929.4400000000005,7.07465,2.0,4.233843691602232
vdW-DF,0.125,6000,28.00002,4508.42,7.89065,2.142855612245991,4.536257857961065
vdW-DF,0.125,6000,24.0,6119.2300000000005,9.94084,2.5,5.2923046145027905
vdW-DF,0.125,6000,22.000020000000003,7266.110000000001,11.25,2.7272702479361377,5.773417967259436
vdW-DF,0.125,6000,19.99998,8768.59,12.8246,3.000003000003,6.3507718881752355
vdW-DF,0.125,6000,18.0,10791.5,14.7461,3.3333333333333335,7.0564061526703865
vdW-DF,0.125,8000,319.9998,34.543099999999995,-1.44875,0.18750011718757326,0.3969230941646431
vdW-DF,0.125,8000,176.412,108.26599999999999,-1.00068,0.3401129174886062,0.719992465070783
vdW-DF,0.125,8000,127.9998,208.743,-0.535198,0.46875073242301946,0.9923086657015633
vdW-DF,0.125,8000,127.0002,212.252,-0.518827,0.4724402008815734,1.0001189820808702
vdW-DF,0.125,8000,93.0,404.99,0.204582,0.6451612903225806,1.365756029549107
vdW-DF,0.125,8000,91.99980000000001,413.81699999999995,0.231603,0.6521753308159365,1.3806042050968257
vdW-DF,0.125,8000,76.005,615.232,0.878396,0.7894217485691731,1.6711441450965985
vdW-DF,0.125,8000,66.3,814.614,1.44872,0.9049773755656109,1.915766376290603
vdW-DF,0.125,8000,60.0,999.396,1.93459,1.0,2.116921845801116
vdW-DF,0.125,8000,58.99998,1034.55,2.0252,1.016949497271016,2.1528026068494763
vdW-DF,0.125,8000,58.000020000000006,1071.49,2.1157,1.03448240190262,2.189918395684466
vdW-DF,0.125,8000,57.0,1110.27,2.21185,1.0526315789473684,2.2283387850538063
vdW-DF,0.125,8000,55.99998,1151.0,2.30976,1.0714289540817692,2.268131359119538
vdW-DF,0.125,8000,51.762,1349.89,2.77248,1.159151501101194,2.4538331352742735
vdW-DF,0.125,8000,48.350519999999996,1549.89,3.21295,1.2409380498906735,2.626968867099402
vdW-DF,0.125,8000,45.52638,1750.9599999999998,3.63605,1.3179172163479722,2.7899277462444183
vdW-DF,0.125,8000,43.13922,1950.8,4.03413,1.3908457315639922,2.9443117132870498
vdW-DF,0.125,8000,41.08812,2150.62,4.42069,1.460276109006691,3.091290396057716
vdW-DF,0.125,8000,39.302879999999995,2352.3700000000003,4.79547,1.5266056838582824,3.23170492208375
vdW-DF,0.125,8000,39.0,2387.8,4.8573,1.5384615384615385,3.2568028396940245
vdW-DF,0.125,8000,37.99998,2515.1499999999996,5.08496,1.5789481994464207,3.3425099367964655
vdW-DF,0.125,10000,319.9998,39.9179,-1.05301,0.18750011718757326,0.3969230941646431
vdW-DF,0.125,10000,133.0002,209.976,-0.260678,0.4511271411621937,0.9550009003600517
