#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
0.28125	2000	1.93939	2.36209	-1.07929
0.28125	2000	1.66234	3.24547	-0.627281
0.28125	2000	1.45455	4.32539	-0.193489
0.28125	2000	1.16364	7.1238	0.774127
0.3125	2000	5.92593	0.18968	-2.48828
0.3125	2000	3.9672	0.499693	-2.209
0.3125	2000	2.96296	0.976056	-1.84668
0.3125	2000	2.93076	0.999796	-1.83248
0.3125	2000	2.43999	1.49585	-1.50426
0.3125	2000	1.97531	2.3507	-1.01287
0.3125	2000	1.69312	3.21411	-0.556854
0.3125	2000	1.48148	4.31608	-0.0923685
0.3125	2000	1.18519	7.04556	0.84016
0.34375	2000	6.03774	0.192351	-2.40942
0.34375	2000	4.02126	0.502786	-2.12807
0.34375	2000	3.01887	0.956941	-1.7742
0.34375	2000	2.95974	0.997653	-1.74782
0.34375	2000	2.46277	1.49859	-1.41057
0.34375	2000	2.01258	2.32264	-0.943328
0.34375	2000	1.72507	3.17984	-0.499828
0.34375	2000	1.50943	4.24392	-0.038907
0.34375	2000	1.20755	6.97189	0.914671
0.375	2000	6.15385	0.188047	-2.32981
0.375	2000	4.07624	0.497336	-2.05076
0.375	2000	3.07692	0.948371	-1.70249
0.375	2000	3.00477	0.992181	-1.65927
0.375	2000	2.50126	1.49208	-1.34005
0.375	2000	2.05128	2.29768	-0.87432
0.375	2000	1.75824	3.17954	-0.411133
0.375	2000	1.53846	4.2322	0.0569462
0.375	2000	1.23077	6.89639	1.01975
0.40625	2000	6.27451	0.179549	-2.26842
0.40625	2000	4.10777	0.501779	-1.9647
0.40625	2000	3.13725	0.930295	-1.62714
0.40625	2000	3.03807	0.997047	-1.5802
0.40625	2000	2.53234	1.49689	-1.24648
0.40625	2000	2.0915	2.27272	-0.802235
0.40625	2000	1.79272	3.13953	-0.345427
0.40625	2000	1.56863	4.18282	0.12947
0.40625	2000	1.2549	6.81223	1.08809
0.4375	2000	6.4	0.171682	-2.15978
0.4375	2000	4.14726	0.499809	-1.87633
0.4375	2000	3.2	0.915011	-1.54339
0.4375	2000	3.07739	0.996653	-1.49113
0.4375	2000	2.5685	1.48891	-1.15641
0.4375	2000	2.13333	2.23367	-0.718809
0.4375	2000	1.82857	3.11045	-0.261184
0.4375	2000	1.6	4.14514	0.207251
0.4375	2000	1.28	6.74321	1.18881
0.46875	2000	6.53061	0.170157	-2.08653
0.46875	2000	4.19347	0.503587	-1.78549
0.46875	2000	3.26531	0.894727	-1.46836
0.46875	2000	3.10996	0.994785	-1.38837
0.46875	2000	2.59774	1.50286	-1.05067
0.46875	2000	2.17687	2.21062	-0.634342
0.46875	2000	1.86589	3.09531	-0.179108
0.46875	2000	1.63265	4.09555	0.289201
0.46875	2000	1.30612	6.67167	1.28862
0.5	2000	6.66667	0.162581	-1.99465
0.5	2000	4.22501	0.513666	-1.67804
0.5	2000	3.33333	0.872573	-1.38868
0.5	2000	3.14191	1.00411	-1.29265
0.5	2000	2.62831	1.49741	-0.956905
0.5	2000	2.22222	2.17757	-0.555414
0.5	2000	1.90476	3.04896	-0.0996781
0.5	2000	1.66667	4.06707	0.379007
0.5	2000	1.33333	6.60102	1.38579
0.53125	2000	6.80851	0.155001	-1.91595
0.53125	2000	3.40426	0.865307	-1.29634
0.53125	2000	2.2695	2.14938	-0.461219
0.53125	2000	1.94529	3.01468	-0.000536401
0.53125	2000	1.70213	4.01996	0.470278
0.53125	2000	1.3617	6.49018	1.46069
0.5625	2000	6.95652	0.1589	-1.80908
0.5625	2000	4.35263	0.502269	-1.4837
0.5625	2000	3.47826	0.845779	-1.20237
0.5625	2000	3.23408	0.996275	-1.08236
0.5625	2000	2.70542	1.49725	-0.739881
0.5625	2000	2.31884	2.11237	-0.367585
0.5625	2000	1.98758	2.96313	0.0875949
0.5625	2000	1.73913	3.96345	0.57627
0.5625	2000	1.3913	6.43507	1.57882
0.59375	2000	7.11111	0.146994	-1.71389
0.59375	2000	4.39848	0.501944	-1.36904
0.59375	2000	3.55556	0.832118	-1.10253
0.59375	2000	3.28652	0.988753	-0.978904
0.59375	2000	2.7534	1.48506	-0.636875
0.59375	2000	2.37037	2.07914	-0.275867
0.59375	2000	2.03175	2.91632	0.181547
0.59375	2000	1.77778	3.91141	0.624742
0.59375	2000	1.42222	6.35991	1.68651
0.625	2000	7.27273	0.149532	-1.59816
0.625	2000	4.447	0.505878	-1.26186
0.625	2000	3.63636	0.804744	-1.00059
0.625	2000	3.31266	1.00467	-0.84683
0.625	2000	2.77716	1.50454	-0.504788
0.625	2000	2.42424	2.05318	-0.1671
0.625	2000	2.07792	2.87737	0.286394
0.625	2000	1.81818	3.85576	0.770476
0.625	2000	1.45455	6.2843	1.79969
0.65625	2000	7.44186	0.151783	-1.49485
0.65625	2000	3.72093	0.794703	-0.892938
0.65625	2000	2.48062	2.00273	-0.0658592
0.65625	2000	2.12625	2.8247	0.39198
0.65625	2000	1.86047	3.81389	0.884954
0.65625	2000	1.48837	6.20044	1.91489
0.6875	2000	7.61905	0.139791	-1.37591
0.6875	2000	4.5695	0.503666	-1.01458
0.6875	2000	3.80952	0.772521	-0.782957
0.6875	2000	3.41326	1.00136	-0.603508
0.6875	2000	2.86489	1.49291	-0.246457
0.6875	2000	2.53968	1.9756	0.0537732
0.6875	2000	2.17687	2.78128	0.510202
0.6875	2000	1.90476	3.74601	0.995879
0.6875	2000	1.52381	6.13965	2.05704
0.71875	2000	7.80488	0.144868	-1.25698
0.71875	2000	3.90244	0.750943	-0.66787
0.71875	2000	2.60163	1.93212	0.162853
0.71875	2000	2.22997	2.7392	0.635348
