section,panel,functional,series,x_he,x,y,y2
source,ALL,,Jupiter_Nettelmann,,2.0114681052714474,7.235988976349586,
source,ALL,,Jupiter_Nettelmann,,2.1233178448251735,7.341829775318616,
source,ALL,,Jupiter_Nettelmann,,2.235161810992481,7.455478502080443,
source,ALL,,Jupiter_Nettelmann,,2.347009626084068,7.563921943647072,
source,ALL,,Jupiter_Nettelmann,,2.4588555167135153,7.6749680278113,
source,ALL,,Jupiter_Nettelmann,,2.5707014073429626,7.786014111975528,
source,ALL,,Jupiter_Nettelmann,,2.6825498639219294,7.893590006009624,
source,ALL,,Jupiter_Nettelmann,,2.7944105087611133,7.984682496925592,
source,ALL,,Jupiter_Nettelmann,,2.906285266322655,8.056688942125835,
source,ALL,,Jupiter_Nettelmann,,3.0181555334725374,8.134768220053807,
source,ALL,,Jupiter_Nettelmann,,3.1300213102107595,8.218920330709512,
source,ALL,,Jupiter_Nettelmann,,3.2418870869489824,8.303072441365217,
source,ALL,,Jupiter_Nettelmann,,3.353751580712446,8.388959647085986,
source,ALL,,Jupiter_Nettelmann,,3.4656160744759097,8.474846852806756,
source,ALL,,Jupiter_Nettelmann,,3.5774805682393733,8.560734058527526,
source,ALL,,Jupiter_Nettelmann,,3.6893463449775954,8.64488616918323,
source,ALL,,Jupiter_Nettelmann,,3.801210838741059,8.730773374904,
source,ALL,,Jupiter_Nettelmann,,3.9130759739919023,8.815793033092238,
source,ALL,,Jupiter_Nettelmann,,4.024944958167025,8.895607406085277,
source,ALL,,Jupiter_Nettelmann,,4.136817791266427,8.970216493883118,
source,ALL,,Jupiter_Nettelmann,,4.248691907340588,9.043090486615892,
source,ALL,,Jupiter_Nettelmann,,4.360568589364268,9.112494289218535,
source,ALL,,Jupiter_Nettelmann,,4.472444629900569,9.182765639353711,
source,ALL,,Jupiter_Nettelmann,,4.584318104487351,9.25650717961902,
source,ALL,,Jupiter_Nettelmann,,4.696192220561513,9.329381172351791,
source,ALL,,Jupiter_Nettelmann,,4.8137192659798185,9.402255165084568,
source,ALL,,Jupiter_Nettelmann,,4.919943018659355,9.47165896768721,
source,ALL,,Jupiter_Nettelmann,,5.031816493246136,9.545400507952518,
source,ALL,,Jupiter_Nettelmann,,5.1436925337824375,9.615671858087694,
source,ALL,,Jupiter_Nettelmann,,5.255569215806118,9.685075660690336,
source,ALL,,Jupiter_Nettelmann,,5.367445256342419,9.755347010825512,
source,ALL,,Jupiter_Nettelmann,,5.4793212968787195,9.825618360960688,
source,ALL,,Jupiter_Nettelmann,,5.59119926187716,9.893287068498264,
source,ALL,,Jupiter_Nettelmann,,5.703078509850361,9.959220680970777,
source,ALL,,Jupiter_Nettelmann,,5.8149603237730805,10.021684103313154,
source,ALL,,Jupiter_Nettelmann,,5.9268434206705605,10.082412430590466,
source,ALL,,Jupiter_Nettelmann,,6.0387284420301786,10.14053811527018,
source,ALL,,Jupiter_Nettelmann,,6.150615387851937,10.196061157352291,
source,ALL,,Jupiter_Nettelmann,,6.262504899623216,10.248114009304274,
source,ALL,,Jupiter_Nettelmann,,6.374395052881875,10.299299313723724,
source,ALL,,Jupiter_Nettelmann,,6.4862839231657725,10.35221971320824,
source,ALL,,Jupiter_Nettelmann,,6.598171510474911,10.40687520775782,
source,ALL,,Jupiter_Nettelmann,,6.71005909778405,10.4615307023074,
source,ALL,,Jupiter_Nettelmann,,6.821948609555328,10.513583554259384,
source,ALL,,Jupiter_Nettelmann,,6.933837479839225,10.566503953743895,
source,ALL,,Jupiter_Nettelmann,,7.045726350123125,10.619424353228412,
source,ALL,,Jupiter_Nettelmann,,7.157617144869162,10.669742110115328,
